0.2	1.9474093921221183
0.4	1.9137625683596764
0.6	1.8792093052016532
0.8	1.8437155805972356
1.0	1.807246490855078
1.2	1.7697663335420504
1.4	1.7312387135380514
1.6	1.6916266757380953
1.8	1.650892868231798
2.0	1.6089997401155807
2.2	1.565909778397775
2.4	1.5215857887151385
2.6	1.4759912247686908
2.8	1.429090571476541
3.0	1.3808497867949032
3.2	1.3312368069240055
3.4	1.2802221191535321
3.6	1.2277794058430405
3.8	1.1738862619200465
4.0	1.118524986745534
4.2	1.061683449177672
4.4	1.0033560221080242
4.6	0.9435445796000191
4.8	0.8822595460186773
5.0	0.8195209822129914
5.2	0.7553596889654253
5.4	0.6898183026823504
5.6	0.622952352864949
5.8	0.5548312455452362
6.0	0.4855391319689498
6.2	0.41517561779300377
6.4	0.34385626545142933
6.6	0.2717128416630924
6.8	0.19889326383623743
7.0	0.12556120381784158
7.2	0.051895315350791615
7.4	-0.021911937169068668
7.6	-0.09565585667611316
7.8	-0.16912148921472306
8.0	-0.2420859697985275
8.2	-0.31432119123976926
8.4	-0.38559673019901863
8.6	-0.45568294832128414
8.8	-0.5243541736325278
9.0	-0.5913918596152488
9.2	-0.6565876174080902
9.4	-0.719746020752324
9.6	-0.7806870934315968
9.8	-0.8392484042844066
10.0	-0.8952867141807236
10.2	-0.948679141126075
10.4	-0.9993238321835007
10.6	-1.0471401525558868
10.8	-1.0920684215040946
11.0	-1.1340692407001967
11.2	-1.173122472432287
11.4	-1.2092259325322574
11.6	-1.2423938660965717
11.8	-1.272655273457902
12.0	-1.3000521500799154
12.2	-1.3246376978652314
12.4	-1.3464745575750379
12.6	-1.365633103406939
12.8	-1.382189831917995
13.0	-1.3962258689259268
13.2	-1.407825610165646
13.4	-1.41707550455727
13.6	-1.4240629831029072
13.8	-1.4288755316940445
14.0	-1.4315999024511377
14.2	-1.4323214555410828
14.4	-1.4311236216077108
14.6	-1.4280874738734008
14.8	-1.4232913984895226
15.0	-1.4168108517030418
15.2	-1.4087181927484467
15.4	-1.3990825819664834
15.6	-1.3879699344107226
15.8	-1.375442920060017
16.0	-1.3615610026525387
16.2	-1.3463805100608421
16.4	-1.3299547299987604
16.6	-1.3123340256768008
16.8	-1.2935659667861112
17.0	-1.2736954718837739
17.2	-1.252764958876022
17.4	-1.2308145008452716
17.6	-1.2078819849484592
17.8	-1.18400327253087
18.0	-1.1592123589554275
18.2	-1.1335415319499795
18.4	-1.1070215275264268
18.6	-1.0796816827365368
18.8	-1.0515500846978332
19.0	-1.022653715462688
19.2	-0.9930185924100711
19.4	-0.962669903923816
19.6	-0.9316321401835596
19.8	-0.8999292189388892
20.0	-0.8675846061650315
20.2	-0.8346214315175368
20.4	-0.801062598508196
20.6	-0.7669308893234841
20.8	-0.7322490641987245
21.0	-0.6970399552501537
21.2	-0.6613265546480896
21.4	-0.6251320970008665
21.6	-0.5884801357976422
21.8	-0.5513946137420745
22.0	-0.5138999267926628
22.2	-0.4760209817099195
22.4	-0.43778324690343084
22.6	-0.39921279636128826
22.8	-0.360336346446625
23.0	-0.3211812853473372
23.2	-0.2817756949772223
23.4	-0.24214836514095361
23.6	-0.20232879980101665
23.8	-0.1623472153134773
24.0	-0.12223453053737073
24.2	-0.08202234876689739
24.4	-0.04174293148611367
24.6	-0.0014291640040696664
24.8	0.038885486910839935
25.0	0.07916702320865554
25.2	0.11938097328930682
25.4	0.15949245695561376
25.6	0.1994662571780833
25.8	0.2392668981892439
26.0	0.27885872934913863
26.2	0.3182060141530116
26.4	0.3572730236872572
26.6	0.3960241337775934
26.8	0.43442392502157007
27.0	0.4724372848540723
27.2	0.5100295107604619
27.4	0.5471664137293092
27.6	0.5838144210264896
27.8	0.619940677374427
28.0	0.6555131436340491
28.2	0.6905006921159167
28.4	0.7248731976844316
28.6	0.7586016238726211
28.8	0.7916581032847139
29.0	0.8240160116384242
29.2	0.8556500348763192
29.4	0.8865362288636225
29.6	0.9166520712828371
29.8	0.9459765054295474
30.0	0.9744899757110383
30.2	1.0021744547477824
30.4	1.0290134620707465
30.6	1.0549920745007695
30.8	1.0800969283822204
31.0	1.1043162139236378
31.2	1.127639661972365
31.4	1.15005852361363
31.6	1.171565543042804
31.8	1.1921549242053513
32.0	1.2118222917377894
32.2	1.2305646467709657
32.4	1.2483803181762827
32.6	1.2652689098465075
32.8	1.2812312446035636
33.0	1.29626930532242
33.2	1.3103861738454556
33.4	1.3235859682443984
33.6	1.335873778962958
33.8	1.3472556043442
34.0	1.3577382860151919
34.2	1.3673294445666966
34.4	1.376037415928802
34.6	1.3838711888049413
34.8	1.3908403434889207
35.0	1.396954992350243
35.2	1.4022257222356824
35.4	1.4066635389974091
35.6	1.4102798143232425
35.8	1.4130862350100823
36.0	1.415094754790492
36.2	1.4163175487925017
36.4	1.4167669706853263
36.6	1.4164555125395875
36.8	1.4153957674070243
37.0	1.4136003946060514
37.2	1.411082087680621
37.4	1.4078535449855114
37.6	1.4039274428369406
37.8	1.399316411157294
38.0	1.3940330115325987
38.2	1.388089717594727
38.4	1.3814988976336928
38.6	1.3742727993417896
38.8	1.3664235365877664
39.0	1.35796307811782
39.2	1.3489032380790806
39.4	1.33925566826151
39.6	1.3290318519553788
39.8	1.3182430993223555
40.0	1.3069005441811257
40.2	1.2950151421108516
40.4	1.2825976697781991
40.6	1.2696587253979066
40.8	1.2562087302395477
41.0	1.2422579310968143
41.2	1.2278164036399388
41.4	1.2128940565746782
41.6	1.1975006365358158
41.8	1.1816457336460429
42.0	1.165338787675447
42.2	1.1485890947395028
